,항목,대덕구,오정동,대화동,회덕동,비래동,송촌동,중리동,법1동,법2동,신탄진동,석봉동,덕암동,목상동
,여,"1,374",123,44,109,146,204,163,113,147,98,89,85,53
59세,계,"3,415",294,146,272,309,501,387,265,371,264,237,247,122
,남,"1,705",148,66,146,138,265,179,134,179,141,116,135,58
,여,"1,710",146,80,126,171,236,208,131,192,123,121,112,64
60세,계,"3,560",343,163,290,338,475,386,268,354,273,297,259,114
,남,"1,773",173,84,125,170,257,191,121,172,135,150,135,60
,여,"1,787",170,79,165,168,218,195,147,182,138,147,124,54
61세,계,"3,483",336,142,297,315,427,394,272,417,256,293,220,114
,남,"1,733",176,79,137,145,214,212,134,197,124,153,103,59
,여,"1,750",160,63,160,170,213,182,138,220,132,140,117,55
62세,계,"3,093",317,154,258,300,370,371,223,329,238,220,218,95
,남,"1,508",158,68,124,130,191,186,92,165,127,113,107,47
,여,"1,585",159,86,134,170,179,185,131,164,111,107,111,48
63세,계,"2,757",280,139,232,254,288,372,227,302,216,170,206,71
,남,"1,412",159,77,126,122,138,177,113,153,109,89,108,41
,여,"1,345",121,62,106,132,150,195,114,149,107,81,98,30
64세,계,"2,833",285,124,250,293,322,350,250,275,195,193,209,87
,남,"1,443",151,71,130,138,166,172,125,150,96,105,102,37
,여,"1,390",134,53,120,155,156,178,125,125,99,88,107,50
65세,계,"2,513",261,143,244,259,253,289,184,287,207,150,164,72
,남,"1,265",127,69,137,127,148,130,88,155,99,73,70,42
,여,"1,248",134,74,107,132,105,159,96,132,108,77,94,30
66세,계,"2,476",245,135,235,269,235,288,190,242,211,179,176,71
,남,"1,204",129,75,112,122,123,132,86,105,102,88,93,37
,여,"1,272",116,60,123,147,112,156,104,137,109,91,83,34
67세,계,"2,131",222,123,193,230,186,273,174,211,189,134,158,38
,남,1024,107,62,98,112,92,126,76,101,87,67,75,21
,여,"1,107",115,61,95,118,94,147,98,110,102,67,83,17
68세,계,"1,666",178,94,137,171,166,188,146,150,148,108,131,49
,남,780,79,45,61,76,79,96,63,75,64,49,70,23
,여,886,99,49,76,95,87,92,83,75,84,59,61,26
69세,계,"1,850",194,103,185,183,163,186,163,205,159,116,146,47
,남,866,94,56,83,79,70,87,71,92,72,70,70,22
,여,984,100,47,102,104,93,99,92,113,87,46,76,25
70세,계,"1,459",184,95,125,130,131,147,121,147,139,88,114,38
,남,738,97,59,70,68,63,77,53,69,76,38,50,18
,여,721,87,36,55,62,68,70,68,78,63,50,64,20
71세,계,"1,441",163,81,148,154,103,171,126,150,133,78,100,34
,남,721,84,45,78,82,46,82,58,73,63,43,49,18
,여,720,79,36,70,72,57,89,68,77,70,35,51,16
72세,계,"1,413",133,72,118,147,149,181,119,153,120,68,108,45
,남,633,55,27,55,75,71,78,44,65,61,34,48,20
,여,780,78,45,63,72,78,103,75,88,59,34,60,25
73세,계,"1,435",172,67,141,153,120,173,139,121,103,78,132,36
,남,664,83,22,72,74,54,81,47,62,50,41,63,15
,여,771,89,45,69,79,66,92,92,59,53,37,69,21
74세,계,"1,362",149,83,135,138,120,156,116,137,124,77,94,33
,남,610,64,44,62,59,52,70,39,62,55,40,44,19
,여,752,85,39,73,79,68,86,77,75,69,37,50,14
75세,계,1023,114,53,88,102,104,126,101,96,77,52,83,27
,남,495,64,17,40,48,45,65,42,47,38,30,41,18
,여,528,50,36,48,54,59,61,59,49,39,22,42,9
76세,계,963,121,59,87,85,90,108,86,103,81,56,67,20
,남,441,71,28,41,28,39,50,39,41,40,24,29,11
,여,522,50,31,46,57,51,58,47,62,41,32,38,9
77세,계,992,99,54,102,109,80,125,86,98,78,59,79,23
,남,419,42,27,41,41,31,57,34,48,34,24,32,8
,여,573,57,27,61,68,49,68,52,50,44,35,47,15
78세,계,"1,029",90,46,112,101,110,116,91,97,91,52,99,24
,남,436,40,21,54,37,47,54,34,40,37,20,43,9
,여,593,50,25,58,64,63,62,57,57,54,32,56,15
