,항목,유성구,진잠동,학하동,상대동,온천1동,온천2동,노은1동,노은2동,노은3동,신성동,전민동,구즉동,관평동,원신흥동
,남,"1,943",184,123,145,171,261,82,108,192,123,159,142,133,120
,여,"1,893",188,106,106,183,259,86,105,189,108,151,133,86,193
65세,계,"3,430",324,191,205,300,444,167,224,339,219,251,240,223,303
,남,"1,745",167,103,108,164,222,70,128,158,115,136,118,116,140
,여,"1,685",157,88,97,136,222,97,96,181,104,115,122,107,163
66세,계,"3,412",325,203,217,303,426,210,216,355,204,216,249,197,291
,남,"1,674",162,115,122,150,218,84,90,175,100,109,120,106,123
,여,"1,738",163,88,95,153,208,126,126,180,104,107,129,91,168
67세,계,"2,736",279,158,143,231,364,143,187,276,142,199,219,155,240
,남,"1,348",131,82,81,122,185,73,79,127,75,103,100,79,111
,여,"1,388",148,76,62,109,179,70,108,149,67,96,119,76,129
68세,계,"2,259",209,132,140,220,296,129,138,238,121,172,138,123,203
,남,"1,155",96,81,71,109,162,62,63,106,68,103,74,52,108
,여,"1,104",113,51,69,111,134,67,75,132,53,69,64,71,95
69세,계,"2,376",229,107,140,218,292,155,166,248,139,144,197,156,185
,남,"1,178",111,59,65,113,158,72,79,130,76,76,82,74,83
,여,"1,198",118,48,75,105,134,83,87,118,63,68,115,82,102
70세,계,"1,702",166,78,83,168,229,121,124,191,95,96,137,84,130
,남,834,79,48,41,87,120,50,57,85,47,46,69,51,54
,여,868,87,30,42,81,109,71,67,106,48,50,68,33,76
71세,계,"1,789",189,103,88,164,244,94,134,210,91,88,136,85,163
,남,894,100,63,40,74,124,44,57,111,47,48,63,48,75
,여,895,89,40,48,90,120,50,77,99,44,40,73,37,88
72세,계,"1,661",181,66,97,176,198,98,140,159,88,94,153,79,132
,남,832,85,35,42,81,106,53,76,81,50,55,57,41,70
,여,829,96,31,55,95,92,45,64,78,38,39,96,38,62
73세,계,"1,633",181,66,81,167,212,112,126,168,79,86,137,87,131
,남,794,85,34,46,77,106,53,52,78,38,41,62,47,75
,여,839,96,32,35,90,106,59,74,90,41,45,75,40,56
74세,계,"1,449",157,67,83,182,187,79,111,154,68,91,113,59,98
,남,693,74,40,41,72,100,42,57,72,32,50,47,23,43
,여,756,83,27,42,110,87,37,54,82,36,41,66,36,55
75세,계,"1,142",122,40,61,133,149,76,110,108,66,63,84,58,72
,남,531,60,25,22,56,62,29,54,58,34,34,34,27,36
,여,611,62,15,39,77,87,47,56,50,32,29,50,31,36
76세,계,"1,070",114,59,51,118,135,87,83,108,52,45,96,40,82
,남,486,51,31,23,52,69,35,35,57,24,18,33,22,36
,여,584,63,28,28,66,66,52,48,51,28,27,63,18,46
77세,계,"1,110",134,49,43,132,139,85,94,93,53,65,90,52,81
,남,471,57,26,18,69,55,31,36,45,25,25,32,22,30
,여,639,77,23,25,63,84,54,58,48,28,40,58,30,51
78세,계,"1,035",123,39,54,126,119,48,85,110,53,53,110,46,69
,남,429,48,15,25,50,54,26,31,46,26,17,42,19,30
,여,606,75,24,29,76,65,22,54,64,27,36,68,27,39
79세,계,"1,276",166,49,56,144,136,84,111,114,58,76,128,58,96
,남,545,76,25,26,67,58,39,45,50,30,30,45,24,30
,여,731,90,24,30,77,78,45,66,64,28,46,83,34,66
80세,계,"1,044",119,37,44,114,106,77,104,90,57,59,107,56,74
,남,390,47,15,18,32,44,27,33,40,22,21,41,23,27
,여,654,72,22,26,82,62,50,71,50,35,38,66,33,47
81세,계,815,93,37,38,85,106,52,70,67,50,40,79,36,62
,남,316,38,16,14,39,45,25,28,28,17,13,24,11,18
,여,499,55,21,24,46,61,27,42,39,33,27,55,25,44
82세,계,890,103,29,43,104,95,60,80,82,48,57,95,35,59
,남,346,40,11,17,38,36,27,36,34,18,22,33,8,26
,여,544,63,18,26,66,59,33,44,48,30,35,62,27,33
83세,계,783,100,29,36,89,78,56,71,69,51,49,72,33,50
,남,277,32,11,16,41,20,21,31,30,15,16,19,9,16
,여,506,68,18,20,48,58,35,40,39,36,33,53,24,34
84세,계,731,90,25,36,72,85,49,72,55,38,59,78,29,43
,남,266,35,8,14,34,32,19,22,20,18,15,24,8,17
,여,465,55,17,22,38,53,30,50,35,20,44,54,21,26
85세,계,656,77,37,31,58,79,36,46,63,42,47,72,28,40
,남,187,19,10,11,13,30,8,17,21,15,9,20,7,7
,여,469,58,27,20,45,49,28,29,42,27,38,52,21,33
86세,계,585,76,23,30,58,83,33,50,33,31,42,66,29,31
,남,157,18,8,8,13,26,10,16,8,4,11,15,9,11
,여,428,58,15,22,45,57,23,34,25,27,31,51,20,20
87세,계,483,55,24,19,41,51,29,34,40,34,57,49,26,24
,남,135,20,7,5,9,14,12,9,17,6,12,14,5,5
,여,348,35,17,14,32,37,17,25,23,28,45,35,21,19
88세,계,451,45,25,15,46,48,32,41,40,31,34,52,16,26
,남,130,10,12,1,11,16,8,18,10,9,7,17,4,7
,여,321,35,13,14,35,32,24,23,30,22,27,35,12,19
89세,계,378,46,14,21,37,46,17,25,35,33,32,27,21,24
,남,104,10,3,7,13,17,5,8,10,5,8,9,4,5
,여,274,36,11,14,24,29,12,17,25,28,24,18,17,19
90세,계,260,33,14,7,18,43,14,17,18,21,24,22,11,18
,남,62,7,4,2,7,10,3,4,4,5,9,5,0,2
,여,198,26,10,5,11,33,11,13,14,16,15,17,11,16
91세,계,226,20,14,18,25,20,13,24,22,9,20,15,9,17
,남,54,3,2,2,8,5,3,5,6,4,6,6,2,2
,여,172,17,12,16,17,15,10,19,16,5,14,9,7,15
92세,계,185,20,7,9,17,18,9,16,17,8,19,26,9,10
,남,39,3,1,2,4,7,1,3,1,2,5,7,2,1
,여,146,17,6,7,13,11,8,13,16,6,14,19,7,9
93세,계,163,12,3,13,16,22,12,7,14,10,25,10,6,13
,남,35,3,0,0,4,9,2,2,2,1,7,1,2,2
,여,128,9,3,13,12,13,10,5,12,9,18,9,4,11
94세,계,112,9,5,2,11,17,6,11,14,8,12,9,4,4
,남,23,2,1,1,3,0,2,2,7,2,2,0,0,1
,여,89,7,4,1,8,17,4,9,7,6,10,9,4,3
95세,계,63,11,3,6,4,7,2,5,5,2,5,4,5,4
,남,11,1,1,1,1,2,1,0,0,0,2,1,0,1
,여,52,10,2,5,3,5,1,5,5,2,3,3,5,3
96세,계,54,3,1,7,3,8,5,6,6,3,3,4,3,2
,남,14,2,0,1,2,1,2,2,0,1,1,1,1,0
,여,40,1,1,6,1,7,3,4,6,2,2,3,2,2
97세,계,30,3,1,2,5,1,2,0,5,3,1,4,1,2
,남,6,1,0,0,1,0,1,0,2,0,0,0,1,0
,여,24,2,1,2,4,1,1,0,3,3,1,4,0,2
98세,계,28,3,0,1,4,2,3,4,0,4,2,2,2,1
,남,5,0,0,0,0,1,0,2,0,1,1,0,0,0
,여,23,3,0,1,4,1,3,2,0,3,1,2,2,1
99세,계,20,1,0,0,5,2,5,2,2,0,0,1,1,1
,남,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,여,19,1,0,0,4,2,5,2,2,0,0,1,1,1
